Location,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
10,BB_039,G2,X,4,30L,24.47,4/26,,,
10,BB_039,G2,X,5,30L,32.026,3/15,non-fitness plant,,
10,BB_094,G1,-,4,30R,28.737,3/15,,,
11,BB_159,G1,-,3,31L,28.381,4/12,,,
11,BB_159,G1,-,5,31L,26.187,2/15,non-fitness plant ,,
11,BB_063,G1,-,3,31R,27.49,3/15,,,
11,BB_192,G1,-,5,32L,30.526,4/12,,,
11,BB_192,G1,-,5,32L,31.78,4/26,,,
11,BB_004,G1,-,5,32R,32.39,4/26,,,
11,BB_088,G1,-,2,33L,27.49,4/12,,,
11,BB_088,G1,-,5,33L,27.957,3/15,non-fitness plant,,
11,BB_045,G1,-,1,33R,35.281,4/12,,,
12,BB_058,G2,X,2,34L,29.321,3/15,,,
12,BB_172,G1,-,4,34R,30.459,3/1,non-fitness plant,,
12,BB_172,G1,-,5,34R,32.74,4/26,,,
12,BB_103,G1,-,3,35L,,,,,
12,BB_103,G1,-,5,35L,22.39,2/15,non-fitness plant ,,
12,BB_183,G1,-,1,35R,19.278,2/15,non-fitness plant ,,
12,BB_183,G1,-,4,35R,24.824,2/15,,,
12,BB_009,G2,X,4,36L,28.24,4/26,,,
12,BB_148,G2,X,5,36R,28.28,3/15,,,
13,BB_032,G1,-,2,37L,23.73,2/15,,,
13,BB_024,G1,-,1,37R,29.049,3/15,,,
13,BB_024,G1,-,2,37R,15.928,2/15,non-fitness plant,,
13,BB_089,G1,-,1,38L,21.853,3/1,,,
13,BB_089,G1,-,4,38L,27.377,2/15,non-fitness plant ,,
13,BB_018,G1,-,3,38R,23.131,2/15,,,
13,BB_102,G1,-,4,39L,24.788,3/1,,,
13,BB_179,G1,-,2,39R,29.723,3/15,,,
13,BB_179,G1,-,4,39R,23.265,2/15,non-fitness plant ,,
14,BB_048,G1,-,2,40L,26.154,2/15,,,
14,BB_078,G1,-,2,40R,27.189,3/15,,,
14,BB_078,G1,-,4,40R,21.157,2/15,non-fitness plant ,,
14,BB_200,G2,X,2,41L,29.764,3/15,,,
14,BB_207,G1,-,1,41R,29.344,3/15,,,
14,BB_121,G1,-,2,42L,23.113,3/15,,,
14,BB_009,G1,-,2,42R,,,,,
15,BB_189,G1,-,3,43L,,,,,
15,BB_189,G1,-,4,43L,32.093,3/15,non-fitness plant,,
15,BB_101,G1,-,1,43R,,,,,
15,BB_154,G1,-,4,44L,31.23,4/26,,,
15,BB_154,G1,-,5,44L,27.518,3/1,non-fitness plant,,
15,BB_200,G1,-,1,44R,20.627,2/15,,,
15,BB_157,G2,X,2,45L,,,,,
15,BB_103,G2,X,2,45R,19.44,4/26,,,
15,BB_103,G2,X,3,45R,20.384,2/15,non-fitness plant,,
16,BB_071,G1,-,1,46L,,,,,
16,BB_071,G1,-,4,46L,25.788,2/15,non-fitness plant ,,
16,BB_117,G1,-,1,46R,27.044,2/15,non-fitness plant ,,
16,BB_117,G1,-,3,46R,25.067,3/1,,,
16,BB_093,G1,-,2,47L,,,,,
16,BB_093,G1,-,4,47L,22.079,2/15,non-fitness plant ,,
16,BB_123,G1,-,1,47R,19.851,2/15,non-fitness plant ,,
16,BB_123,G1,-,4,47R,29.982,3/1,,,
16,BB_119,G1,-,5,48L,27.418,2/15,,,
16,BB_064,G1,-,5,48R,,,,,
17,BB_205A,G1,-,2,49L,21.46,3/1,non-fitness plant; petals missing,,
17,BB_205A,G1,-,4,49L,29.098,3/15,,,
17,BB_076,G2,X,2,49R,27.173,3/15,,,
17,BB_151,G1,-,3,50L,28.367,2/15,non-fitness plant ,,
17,BB_151,G1,-,4,50L,26.585,2/15,non-fitness plant ,,
17,BB_120,G2,X,1,50R,,,,,
17,BB_052,G1,-,1,51L,23.72,3/15,,,
17,BB_052,G1,-,2,51L,25.993,3/1,non-fitness plant ,,
17,BB_052,G1,-,4,51L,24.033,2/15,non-fitness plant ,,
17,BB_159,G1,-,2,51R,26.055,3/15,,,
17,BB_159,G1,-,4,51R,25.923,3/1,,,
18,BB_171,G1,-,3,52L,25.518,3/29,,,
18,BB_031,G1,-,1,52R,,,,,
18,BB_031,G1,-,4,52R,15.349,2/15,non-fitness plant ,,
18,BB_118,G1,-,1,53L,20.931,3/1,,,
18,BB_118,G1,-,4,53L,21.71,2/15,non-fitness plant ,,
18,BB_118,G1,-,5,53L,24.472,2/15,non-fitness plant ,,
18,BB_037,G2,X,3,53R,27.961,3/15,,,
18,BB_037,G2,X,5,53R,31.469,3/1,,,
18,BB_145,G2,X,4,54L,19.838,2/15,,,
18,BB_074,G1,-,3,54R,23.268,2/15,non-fitness plant ,,
18,BB_074,G1,-,4,54R,27.87,3/15,,,
19,BB_097,G1,-,3,55L,27.936,3/15,,,
19,BB_097,G1,-,4,55L,21.733,3/1,non-fitness plant,,
19,BB_018,G2,X,4,55R,25.21,2/15,,,
19,BB_018,G2,X,5,55R,25.224,2/15,non-fitness plant,,
19,BB_079,G1,-,3,56L,27.69,4/26,,,
20,BB_104,G1,-,3,58L,24.64,2/15,,,
20,BB_185,G1,-,2,58R,21.357,2/15,non-fitness plant,,
20,BB_185,G1,-,4,58R,,,,,
20,BB_018,G2,X,1,59L,,,,,
20,BB_018,G2,X,4,59L,27.417,3/15,non-fitness plant,,
20,BB_051,G1,-,3,59R,34.029,3/15,,,
20,BB_046,G2,X,1,60L,28.497,3/29,non-fitness plant,,
20,BB_046,G2,X,2,60L,,, ,,
20,BB_003,G1,-,2,60R,22.374,3/1,,,
21,BB_153,G2,X,5,61L,29.867,3/15,,,
21,BB_114,G2,X,1,61R,29.501,3/15,,,
21,BB_114,G2,X,1,61R,28.181,3/29,,,
21,BB_043,G1,-,5,62L,18.869,2/15,,,
21,BB_093,G2,X,4,62R,,,,,
21,BB_121,G1,-,1,63R,27.164,3/15,,,
22,BB_076,G2,X,2,64L,29.595,3/15,,,
22,BB_147,G1,-,3,65R,21.769,2/15,,,
22,BB_160,G2,X,2,66L,31.53,3/15,,,
22,BB_035,G1,-,4,66R,25.268,2/15,non-fitness plant ,,
22,BB_035,G1,-,5,66R,34.8,3/15,,,
23,BB_019,G1,-,4,67L,25.248,2/15,,,
23,BB_206,G2,X,1,67R,30.902,3/29,,,
23,BB_061,G1,-,3,68L,33.451,3/15,,,
23,BB_061,G1,-,5,68L,29.097,2/15,non-fitness plant,,
23,BB_105,G1,-,3,68R,26.527,2/15,,,
23,BB_076,G1,-,2,69L,31.794,3/15,,,
23,BB_078,G2,X,1,69R,27.782,3/15,,,
23,BB_078,G2,X,4,69R,25.025,3/1,non-fitness plant,,
24,BB_017,G1,-,4,70L,23.628,2/15,,,
24,BB_171,G2,X,2,70R,22.424,2/15,,,
24,BB_109,G2,X,5,71L,33.884,3/15,,,
24,BB_199,G1,-,1,71R,30.293,3/15,,,
24,BB_199,G1,-,3,71R,25.56,2/15,non-fitness plant,,
24,BB_084,G1,-,2,72L,26.946,4/12,,,
24,BB_084,G1,-,4,72L,24.261,2/15,non-fitness plant ,,
24,BB_214,G1,-,2,72R,,,,,
25,BB_172,G1,-,2,73L,22.506,2/15,non-fitness plant ,,
25,BB_172,G1,-,4,73L,23.697,3/1,,,
25,BB_121,G2,X,1,73R,23.711,2/15,non-fitness plant ,,
25,BB_121,G2,X,2,73R,32.131,3/29,,,
25,BB_002,G1,-,5,74L,26.345,3/15,,,
25,BB_153,G2,X,3,74R,35.07,3/15,,,
25,BB_153,G1,-,3,75L,30.476,3/15,,,
25,BB_153,G1,-,5,75L,19.351,3/1,non-fitness plant,,
25,BB_098,G2,X,3,75R,29.079,3/15,,,
26,BB_017,G2,X,5,76L,29.092,3/15,,,
26,BB_072,G1,-,3,76R,26.085,2/15,non-fitness plant ,,
26,BB_072,G1,-,5,76R,,,,,
26,BB_189,G2,X,2,77L,30.999,3/29,,,
27,BB_126,G1,-,1,79L,28.32,2/15,,,
27,BB_149,G1,-,1,79R,26.2,3/1,non-fitness plant,,
27,BB_149,G1,-,5,79R,25.596,3/15,,,
27,BB_163,G1,-,5,80L,24.718,2/15,,,
27,BB_013,G1,-,5,80R,27.367,2/15,,,
27,BB_095,G1,-,4,81L,40.39,4/26,,,
27,BB_095,G1,-,2,81L,29.944,3/15,non-fitness plant,,
27,BB_020,G2,X,2,81R,31.317,3/15,,,
28,BB_008,G1,-,1,82L,33.573,3/15,,,
28,BB_008,G1,-,4,82L,24.036,2/15,non-fitness plant ,,
28,BB_059,G2,X,4,82R,36.288,3/16,,,
28,BB_080,G1,-,2,83L,19.711,2/15,,,
28,BB_080,G1,-,4,83L,23.512,2/15,non-fitness plant,,
28,BB_185,G1,-,1,83R,25.387,3/16,,f,
28,BB_021,G1,-,2,84L,20.225,2/15,non-fitness plant ,,
28,BB_021,G1,-,3,84L,20.486,3/2,,,
28,BB_021,G1,-,3,84L,21.307,3/16,,,
28,BB_152,G1,-,1,84R,23.975,3/2,"REMOVE. non-fitness plant, missing petals (3/2)",,
28,BB_152,G1,-,1,84R,28.483,3/16,non-fitness; good petals,,
28,BB_152,G1,-,4,84R,,,,,
29,BB_104,G2,X,5,85L,23.323,2/15,non-fitness plant ,,
29,BB_104,G2,X,2,85L,35.719,3/16,non-fitness plant ,,
29,BB_216,G1,-,5,86L,27.035,3/16,,,
29,BB_216,G1,-,4,86L,27.694,3/16,non-fitness plant,,
29,BB_190,G2,X,3,86R,23.647,2/15,,,
29,BB_060,G1,-,4,87L,24.11,2/15,non-fitness plant ,,
29,BB_060,G1,-,5,87L,21.276,2/15,,,
29,BB_052,G1,-,1,87R,25.566,2/15,,,
30,BB_127,G1,-,5,88L,26.966,4/12,,,
30,BB_127,G1,-,1,88L,30.88,3/29,non-fitness plant,,
30,BB_074,G1,-,2,90L,22.856,3/16,,,
30,BB_074,G1,-,4,90L,24.57,2/15,non-fitness plant ,,
30,BB_084,G1,-,5,90R,32.462,3/16,non-fitness plant,,
31,BB_020,G1,-,5,91L,28.24,4/26,,,
31,BB_094,G1,-,2,91R,26.442,3/16,non-fitness plant,,
31,BB_019,G2,X,3,92L,29.573,3/16,non-fitness plant,,
31,BB_145,G2,X,2,92R,23.721,4/13,,,
31,BB_145,G2,X,5,92R,33.209,3/29,non-fitness plant,,
31,BB_138,G2,X,4,93R,31.613,3/29,,,
32,BB_039,G2,X,1,94L,26.884,3/16,,,
32,BB_119,G1,-,2,94R,25.15,3/29,1 petal torn,,
32,BB_151,G1,-,3,95R,25.012,3/16,,,
32,BB_044,G1,-,3,96L,30.414,3/16,non-fitness plant,,
32,BB_044,G1,-,4,96L,28.155,3/29,,,
32,BB_207,G2,X,2,96R,29.379,3/29,,,
33,BB_078,G1,-,3,97L,24.75,3/16,,,
33,BB_163,G1,-,4,97R,26.616,3/16,,,
33,BB_192,G1,-,5,98R,21.117,3/16,,,
33,BB_192,G1,-,5,98R,19.911,3/29,,,
34,BB_049,G1,-,5,100L,25.108,2/15,,,
34,BB_135,G2,X,2,100R,22.663,2/15,,,
34,BB_004,G1,-,4,101L,17.926,3/16,,,
34,BB_210,G2,X,2,101R,26.779,2/15,,,
34,BB_037,G1,-,2,102L,28.266,2/15,,,
34,BB_201,G1,-,1,102R,26.145,3/16,,,
35,BB_021,G2,X,2,103L,22.913,3/16,,,
35,BB_148,G2,X,3,103R,,,,,
35,BB_119,G1,-,4,104L,32.307,3/16,,,
35,BB_019,G1,-,4,104R,23.718,2/15,,,
35,BB_046,G2,X,5,105L,24.4,3/2,,,
35,BB_046,G2,X,5,105L,26.811,3/16,,,
35,BB_008,G1,-,1,105R,24.537,3/2,,,
35,BB_008,G1,-,1,105R,33.436,3/16,,,
35,BB_008,G1,-,4,105R,25.271,2/15,non-fitness plant ,,
36,BB_185,G2,X,3,106L,21.612,2/15,,,
36,BB_046,G1,-,3,106R,32.956,3/16,,,
36,BB_046,G1,-,5,106R,29.314,2/15,non-fitness plant,,
36,BB_010,G1,-,1,107L,,,,,
36,BB_159,G1,-,3,107R,23.618,3/16,,,
36,BB_159,G1,-,5,107R,23.504,2/15,non-fitness plant ,,
36,BB_101,G2,X,3,108L,27.889,3/29,,,
36,BB_154,G1,-,1,108R,21.791,3/16,,,
37,BB_158,G1,-,2,109L,23.193,4/13,,,
37,BB_018,G1,-,3,109R,32.515,3/16,,,
37,BB_153,G2,X,5,110L,24.728,3/29,,,
37,BB_153,G2,X,5,110L,27.04,4/13,,,
37,BB_077,G1,-,5,110R,31.345,3/16,,,
37,BB_205,G1,-,3,111L,25.576,3/2,non-fitness plant,,
37,BB_205,G1,-,4,111L,32.667,3/16,,,
37,BB_121,G2,X,5,111R,25.89,3/16,,,
38,BB_063,G1,-,2,112L,28.223,3/16,,,
38,BB_063,G1,-,4,112L,22.189,2/15,non-fitness plant,,
38,BB_063,G1,-,5,112L,25.686,3/2,non-fitness plant,,
38,BB_087,G1,-,5,112R,22.122,3/2,,,
38,BB_147a,G1,-,2,113L,28.917,3/16,,,
38,BB_147b,G1,-,2,113R,24.546,3/16,,,
38,BB_089,G1,-,4,114L,24.744,3/16,non-fitness plant,,
38,BB_089,G1,-,5,114L,22.789,2/15,,,
38,BB_116,G1,-,3,114R,,,,,
38,BB_116,G1,-,5,114R,21.753,3/16,non-fitness plant,,
39,BB_088,G1,-,2,115L,25.598,3/2,,,
39,BB_088,G1,-,4,115L,21.503,2/15,non-fitness plant ,,
39,BB_133,G1,-,4,115R,22.371,2/15,,,
39,BB_034,G1,-,2,116L,25.728,2/15,,,
39,BB_046,G1,-,4,116R,19.107,3/16,,,
39,BB_039,G1,-,5,117L,27.67,3/16,,,
39,BB_164,G1,-,3,117R,18.848,2/15,,,
40,BB_029,G2,X,3,118L,22.09,2/15,non-fitness plant ,,
40,BB_029,G2,X,5,118L,22.483,2/15,,,
40,BB_025,G1,-,3,118R,20.729,2/15,non-fitness plant ,,
40,BB_025,G1,-,4,118R,22.316,4/13,,,
40,BB_051,G2,X,1,119L,26.403,4/13,,,
40,BB_051,G2,X,2,119L,29.444,3/2,non-fitness plant,,
40,BB_051,G2,X,3,119L,32.356,3/16,non-fitness plant,,
40,BB_051,G2,X,4,119L,21.82,2/15,non-fitness plant,,
40,BB_021,G1,-,1,119R,24.538,2/15,non-fitness plant,,
40,BB_021,G1,-,3,119R,23.954,3/16,,,
40,BB_054,G1,-,1,120L,26.822,2/15,non-fitness plant,,
40,BB_054,G1,-,2,120L,,,,,
40,BB_183,G1,-,5,120R,21.141,2/15,,,
41,BB_189,G1,-,3,121L,25.156,3/29,,,
41,BB_132,G2,X,2,121R,,,,,
41,BB_187,G1,-,5,122L,16.84,4/13,,,
41,BB_134,G2,X,1,122R,24.183,3/2,,,
41,BB_113,G1,-,4,123L,27.308,3/16,,,
41,BB_080,G1,-,2,123R,17.769,4/26,,,
42,BB_151,G1,-,5,124L,17.769,3/29,,,
42,BB_149,G1,-,1,125L,,,,,
42,BB_109,G2,X,1,125R,23.904,3/16,,,
42,BB_189,G2,X,2,126R,,,,,
43,BB_120,G1,-,5,127L,24.368,3/16,,,
43,BB_039,G1,-,2,127R,15.7,3/2,,,
43,BB_010,G1,-,1,128L,24.934,2/15,non-fitness plant,,
43,BB_010,G1,-,3,128L,28.692,2/15,,,
43,BB_206,G1,-,1,128R,23.045,2/15,,,
43,BB_040,G1,-,2,129L,33.013,4/13,,,
43,BB_089,G1,-,1,129R,27.694,4/13,,,
43,BB_089,G1,-,5,129R,22.918,2/15,non-fitness plant,,
44,BB_027,G1,-,2,130L,23.025,2/15,,,
44,BB_152,G1,-,1,130R,,,,,
44,BB_138,G1,-,5,131L,28.12,3/2,,,
44,BB_114,G1,-,1,131R,28.009,3/2,,,
44,BB_148,G2,X,1,132L,31.381,2/15,,,
44,BB_199,G1,-,1,132R,27.747,3/2,,,
45,BB_053,G2,X,1,133L,23.539,2/15,,,
45,BB_039,G2,X,5,133R,,,,,
45,BB_200,G1,-,1,134L,26.571,4/13,,,
45,BB_200,G1,-,3,134L,20.6,2/15,non-fitness plant ,,
45,BB_110,G1,-,4,134R,22.531,2/15,non-fitness plant,,
45,BB_110,G1,-,5,134R,30.472,3/2,,,
45,BB_135,G2,X,1,135L,28.522,2/15,,,
45,BB_013,G2,X,1,135R,26.896,3/2,non-fitness plant; missing petal,,
45,BB_013,G2,X,2,135R,24.098,2/15,non-fitness plant,,
45,BB_013,G2,X,4,135R,31.165,3/16,,,
46,BB_088,G2,X,3,136L,26.106,3/29,,,
46,BB_193,G2,X,4,137L,22.422,2/15,,,
46,BB_109,G1,-,4,137R,27.811,2/15,,,
46,BB_137,G1,-,2,138L,20.981,3/2,,,
46,BB_117,G1,-,4,138R,27.06,2/15,,,
47,BB_209,G1,-,2,139L,27.055,2/15,,,
47,BB_209,G1,-,2,139L,24.54,3/2,,,
47,BB_105,G2,X,1,139R,18.377,4/26,,,
47,BB_134,G2,X,2,140L,31.286,2/15,,,
47,BB_134,G2,X,3,140L,35.234,2/15,non-fitness plant ,,
47,BB_134,G2,X,4,140L,25.013,2/15,non-fitness plant ,,
47,BB_186,G1,-,1,140R,,,,,
47,BB_186,G1,-,4,140R,21.164,2/15,non-fitness plant,,
47,BB_134,G1,-,3,141L,,,,,
47,BB_138,G2,X,4,141R,30.895,3/2,,,
47,BB_138,G2,X,5,141R,27.025,2/15,non-fitness plant,,
48,BB_200,G2,X,5,142R,,,,,
48,BB_045,G1,-,3,143L,,,,,
48,BB_045,G1,-,5,143L,25.423,2/16,non-fitness plant ,,
48,BB_009,G1,-,3,143R,24.821,2/15,,,
48,BB_054,G1,-,4,144L,31.298,3/2,,,
49,BB_043,G1,-,1,145L,24.851,2/16,,,
49,BB_085,G1,-,4,146L,23.56,3/2,,,
49,BB_208,G1,-,3,147L,24.971,3/2,,,
49,BB_054,G2,X,3,147R,26.951,3/16,,,
50,BB_145,G1,-,2,148L,34.602,3/29,,,
50,BB_145,G1,-,4,148L,26.011,3/2,non-fitness plant,,
50,BB_146,G2,X,5,148R,24.201,3/29,,,
50,BB_126,G1,-,1,149L,30.197,3/16,,,
50,BB_126,G1,-,2,149L,23.277,2/16,non-fitness plant,,
50,BB_157,G2,X,2,149R,26.910,3/16,petal is folded,,
50,BB_059,G1,-,1,150L,29.744,3/2,,,
51,BB_044,G1,-,3,151L,31.101,3/16,,,
51,BB_048,G1,-,5,,30.657,3/16,"REMOVE. No such ID at this location, no idea where this came from (DG). non-fitness plant",,
51,BB_189,G2,X,3,151R,29.299,3/16,,,
51,BB_088,G2,X,5,152R,22.177,3/16,,,
51,BB_002,G1,-,1,153L,,,,,
51,BB_002,G1,-,2,153L,26.804,2/16,non-fitness plant,,
51,BB_145,G1,-,3,153R,,,,,
52,BB_111,G2,X,1,154R,27.156,2/16,,,
52,BB_206,G2,X,4,155L,23.332,2/16,,,
52,BB_143,G1,-,4,155R,31.866,2/16,non-fitness plant ,,
52,BB_143,G1,-,5,155R,24.056,2/16,,,
52,BB_143,G1,-,5,155R,28.462,3/2,,,
52,BB_190,G2,X,3,156L,,,,,
52,BB_190,G2,X,5,156L,21.326,2/16,non-fitness plant,,
52,BB_007,G1,-,5,156R,32.478,2/16,,,
53,BB_020,G2,X,4,157L,27.249,3/2,,,
53,BB_116,G2,X,2,158L,26.449,3/16,,,
53,BB_192,G1,-,2,158R,23.957,2/16,,,
53,BB_192,G1,-,3,158R,25.311,2/16,non-fitness plant,,
53,BB_104,G1,-,1,159L,29.638,2/16,,,
53,BB_146,G1,-,2,159R,23.148,3/16,,,
54,BB_064,G1,-,5,160L,20.843,2/16,,,
54,BB_114,G2,X,4,160R,,,,,
54,BB_060,G2,X,2,161L,26.624,3/2,,,
54,BB_060,G2,X,5,161L,20.232,2/16,non-fitness plant,,
54,BB_037,G1,-,3,161R,,,,,
54,BB_101,G1,-,5,162L,25.691,3/2,,,
54,BB_048,G1,-,4,162R,23.69,2/16,,,
55,BB_211,G1,-,5,163L,24.955,2/16,,,
55,BB_114,G1,-,2,163R,23.01,4/13,,,
55,BB_143,G2,X,4,164L,29.767,3/16,,,
55,BB_079,G1,-,3,164R,30.171,3/16,,,
55,BB_092,G1,-,2,165R,,,,,
55,BB_092,G1,-,3,165R,23.241,3/29,non-fitness plant,,
55,BB_074,G1,-,3,166L,31.588,3/16,,,
56,BB_131,G2,X,1,167L,,,,,
56,BB_059,G1,-,3,167R,22.988,2/15,,,
56,BB_059,G1,-,5,167R,29.4,2/16,non-fitness plant,,
56,BB_109,G1,-,3,168L,24.401,2/16,,,
56,BB_030,G1,-,1,168R,,,,,
56,BB_030,G1,-,3,168R,26.951,3/2,non-fitness plant,,
56,BB_030,G1,-,5,168R,26.928,2/16,non-fitness plant,,
57,BB_103,G2,X,1,169L,21.735,3/29,,,
57,BB_117,G2,X,1,169R,26.78,4/13,,,
57,BB_117,G1,-,3,170L,27.748,4/13,,,
57,BB_117,G1,-,5,170L,24.737,3/2,non-fitness plant,,
57,BB_076,G2,X,5,170R,23.446,3/16,,,
57,BB_118,G1,-,1,171L,18.903,3/2,non-fitness plant,,
57,BB_118,G1,-,3,171L,21.96,4/13,only 3 petals,,
57,BB_030,G1,-,4,171R,27.43,2/16,,,
58,BB_211,G1,-,3,172L,15.933,2/16,non-fitness plant,,
58,BB_211,G1,-,4,172L,28.032,4/13,,,
58,BB_056,G1,-,1,172R,20.16,2/16,petals wilted,,
58,BB_093,G1,-,2,173L,,,,,
58,BB_145,G2,X,4,173R,20.729,2/16,,,
58,BB_045,G2,X,4,174L,22.428,3/29,,,
58,BB_027,G1,-,2,174R,17.897,2/16,non-fitness plant; petals are folded/missing,,
58,BB_027,G1,-,4,174R,20.518,4/26,,,
59,BB_166,G2,X,4,175L,22.617,3/29,,,
59,BB_013,G1,-,1,175R,26.574,3/29,,,
59,BB_013,G1,-,5,175R,18.916,2/16,non-fitness plant,,
59,BB_019,G1,-,1,176L,20.893,4/13,,,
59,BB_089,G2,X,2,177L,21.587,3/29,,,
59,BB_199,G1,-,4,177R,,,,,
59,BB_199,G1,-,5,177R,24.662,2/16,non-fitness plant ,,
60,BB_072,G1,-,5,178L,,,,,
60,BB_170,G1,-,4,178R,26.514,3/2,,,
60,BB_019,G2,X,5,179R,22.941,3/29,,,
60,BB_172,G1,-,5,180R,21.947,4/26,,,
61,BB_150,G2,X,2,181L,,,,,
61,BB_210,G1,-,4,181R,,,,,
61,BB_218,G1,-,1,182R,23.652,3/29,,,
61,BB_218,G1,-,3,182R,19.78,3/16,non-fitness plant,,
61,BB_133,G1,-,2,183L,27.3,3/16,,,
62,BB_052,G2,X,4,184L,,,,,
62,BB_161,G1,-,1,184R,25.292,2/16,,,
62,BB_161,G1,-,5,184R,28.666,2/16,non-fitness plant,,
62,BB_111,G1,-,1,185L,24.76,3/29,,,
62,BB_058,G1,-,3,185R,23.234,5/11,,,
62,BB_058,G1,-,4,185R,27.984,3/16,non-fitness plant; petals folded,,
62,BB_017,G2,X,3,186L,21.776,3/29,,,
62,BB_093,G1,-,3,186R,,,,,
62,BB_094,G1,-,3,186R,27.049,3/16,non-fitness plant,,
63,BB_123,G2,X,2,187L,29.238,4/12,,,
63,BB_131,G1,-,3,187R,,,,,
63,BB_208,G1,-,2,188R,23.474,5/11,,,
63,BB_034,G1,-,4,189L,19.577,2/16,,,
63,BB_034,G1,-,4,189L,23.372,3/2,,,
63,BB_210,G1,-,2,189R,,,,,
63,BB_210,G1,-,3,189R,18.348,3/2,non-fitness plant,,
64,BB_025,G1,-,3,190L,24.253,3/29,,,
64,BB_052,G1,-,2,190R,23.358,2/16,non-fitness plant,,
64,BB_052,G1,-,5,190R,21.581,3/1,,,
64,BB_095,G1,-,1,191L,,,,,
64,BB_086,G1,-,4,191R,27.854,4/12,,,
64,BB_086,G1,-,5,191R,21.607,2/16,non-fitness plant,,
